min,max,repetitions,result
-1000,-1000,10,100.0
-1000,-1000,60,100.0
-1000,-1000,110,100.0
-1000,-1000,160,100.0
-1000,-1000,210,100.0
-1000,-1000,260,100.0
-1000,-1000,310,100.0
-1000,-1000,360,100.0
-1000,-1000,410,100.0
-1000,-1000,460,100.0
-1000,-1000,510,100.0
-1000,-1000,560,100.0
-1000,-1000,610,100.0
-1000,-1000,660,100.0
-1000,-1000,710,100.0
-1000,-1000,760,100.0
-1000,-1000,810,100.0
-1000,-1000,860,100.0
-1000,-1000,910,100.0
-1000,-1000,960,100.0
-1000,-900,10,70.0
-1000,-900,60,78.33
-1000,-900,110,74.55
-1000,-900,160,86.88
-1000,-900,210,80.95
-1000,-900,260,84.23
-1000,-900,310,79.35
-1000,-900,360,78.33
-1000,-900,410,83.66
-1000,-900,460,81.52
-1000,-900,510,81.37
-1000,-900,560,80.89
-1000,-900,610,80.49
-1000,-900,660,80.76
-1000,-900,710,83.52
-1000,-900,760,81.97
-1000,-900,810,83.09
-1000,-900,860,78.37
-1000,-900,910,80.33
-1000,-900,960,84.58
-1000,-800,10,60.0
-1000,-800,60,80.0
-1000,-800,110,84.55
-1000,-800,160,85.0
-1000,-800,210,86.19
-1000,-800,260,84.62
-1000,-800,310,82.9
-1000,-800,360,79.44
-1000,-800,410,82.44
-1000,-800,460,81.96
-1000,-800,510,83.33
-1000,-800,560,81.61
-1000,-800,610,82.3
-1000,-800,660,80.91
-1000,-800,710,82.39
-1000,-800,760,82.24
-1000,-800,810,82.59
-1000,-800,860,81.86
-1000,-800,910,80.77
-1000,-800,960,82.29
-1000,-700,10,90.0
-1000,-700,60,81.67
-1000,-700,110,81.82
-1000,-700,160,80.62
-1000,-700,210,85.71
-1000,-700,260,85.77
-1000,-700,310,83.87
-1000,-700,360,82.5
-1000,-700,410,81.71
-1000,-700,460,79.57
-1000,-700,510,84.71
-1000,-700,560,82.5
-1000,-700,610,81.48
-1000,-700,660,79.09
-1000,-700,710,80.7
-1000,-700,760,82.89
-1000,-700,810,79.88
-1000,-700,860,82.33
-1000,-700,910,83.08
-1000,-700,960,81.15
-1000,-600,10,90.0
-1000,-600,60,88.33
-1000,-600,110,82.73
-1000,-600,160,83.75
-1000,-600,210,83.33
-1000,-600,260,78.85
-1000,-600,310,81.94
-1000,-600,360,82.78
-1000,-600,410,81.95
-1000,-600,460,84.13
-1000,-600,510,82.75
-1000,-600,560,81.79
-1000,-600,610,81.15
-1000,-600,660,80.91
-1000,-600,710,81.13
-1000,-600,760,81.18
-1000,-600,810,82.96
-1000,-600,860,83.26
-1000,-600,910,83.96
-1000,-600,960,81.88
-1000,-500,10,70.0
-1000,-500,60,88.33
-1000,-500,110,75.45
-1000,-500,160,75.0
-1000,-500,210,80.0
-1000,-500,260,76.15
-1000,-500,310,76.13
-1000,-500,360,78.61
-1000,-500,410,81.22
-1000,-500,460,79.57
-1000,-500,510,79.41
-1000,-500,560,81.25
-1000,-500,610,81.48
-1000,-500,660,80.76
-1000,-500,710,80.56
-1000,-500,760,82.24
-1000,-500,810,81.73
-1000,-500,860,81.98
-1000,-500,910,80.0
-1000,-500,960,79.79
-1000,-400,10,80.0
-1000,-400,60,75.0
-1000,-400,110,81.82
-1000,-400,160,79.38
-1000,-400,210,78.57
-1000,-400,260,71.54
-1000,-400,310,79.68
-1000,-400,360,80.28
-1000,-400,410,76.59
-1000,-400,460,79.78
-1000,-400,510,75.69
-1000,-400,560,77.32
-1000,-400,610,79.02
-1000,-400,660,75.91
-1000,-400,710,75.77
-1000,-400,760,76.05
-1000,-400,810,77.04
-1000,-400,860,78.02
-1000,-400,910,78.24
-1000,-400,960,76.35
-1000,-300,10,70.0
-1000,-300,60,70.0
-1000,-300,110,75.45
-1000,-300,160,80.62
-1000,-300,210,80.95
-1000,-300,260,75.0
-1000,-300,310,75.48
-1000,-300,360,76.11
-1000,-300,410,77.56
-1000,-300,460,78.04
-1000,-300,510,77.45
-1000,-300,560,78.75
-1000,-300,610,79.84
-1000,-300,660,76.52
-1000,-300,710,77.32
-1000,-300,760,79.21
